folder,file,frames_processed,features_computed,output_path
AdaptableSnail,1212811043.parquet,2661045,10,/home/rahuladhi/Desktop/AI/MABe/data/features_intermediate/AdaptableSnail/1212811043_features.parquet
AdaptableSnail,1260392287.parquet,1826118,10,/home/rahuladhi/Desktop/AI/MABe/data/features_intermediate/AdaptableSnail/1260392287_features.parquet
AdaptableSnail,1351098077.parquet,1593354,10,/home/rahuladhi/Desktop/AI/MABe/data/features_intermediate/AdaptableSnail/1351098077_features.parquet
AdaptableSnail,1408652858.parquet,1082848,10,/home/rahuladhi/Desktop/AI/MABe/data/features_intermediate/AdaptableSnail/1408652858_features.parquet
AdaptableSnail,143861384.parquet,2333483,10,/home/rahuladhi/Desktop/AI/MABe/data/features_intermediate/AdaptableSnail/143861384_features.parquet
AdaptableSnail,1596473327.parquet,1750133,10,/home/rahuladhi/Desktop/AI/MABe/data/features_intermediate/AdaptableSnail/1596473327_features.parquet
AdaptableSnail,1643942986.parquet,2132672,10,/home/rahuladhi/Desktop/AI/MABe/data/features_intermediate/AdaptableSnail/1643942986_features.parquet
AdaptableSnail,1717182687.parquet,802834,10,/home/rahuladhi/Desktop/AI/MABe/data/features_intermediate/AdaptableSnail/1717182687_features.parquet
AdaptableSnail,2078515636.parquet,460929,10,/home/rahuladhi/Desktop/AI/MABe/data/features_intermediate/AdaptableSnail/2078515636_features.parquet
AdaptableSnail,209576908.parquet,585502,10,/home/rahuladhi/Desktop/AI/MABe/data/features_intermediate/AdaptableSnail/209576908_features.parquet
AdaptableSnail,278643799.parquet,825224,10,/home/rahuladhi/Desktop/AI/MABe/data/features_intermediate/AdaptableSnail/278643799_features.parquet
AdaptableSnail,351967631.parquet,461179,10,/home/rahuladhi/Desktop/AI/MABe/data/features_intermediate/AdaptableSnail/351967631_features.parquet
AdaptableSnail,355542626.parquet,1058289,10,/home/rahuladhi/Desktop/AI/MABe/data/features_intermediate/AdaptableSnail/355542626_features.parquet
AdaptableSnail,44566106.parquet,1082360,10,/home/rahuladhi/Desktop/AI/MABe/data/features_intermediate/AdaptableSnail/44566106_features.parquet
AdaptableSnail,678426900.parquet,618241,10,/home/rahuladhi/Desktop/AI/MABe/data/features_intermediate/AdaptableSnail/678426900_features.parquet
AdaptableSnail,705948978.parquet,602544,10,/home/rahuladhi/Desktop/AI/MABe/data/features_intermediate/AdaptableSnail/705948978_features.parquet
AdaptableSnail,878123481.parquet,1039233,10,/home/rahuladhi/Desktop/AI/MABe/data/features_intermediate/AdaptableSnail/878123481_features.parquet
BoisterousParrot,1059582964.parquet,3790620,10,/home/rahuladhi/Desktop/AI/MABe/data/features_intermediate/BoisterousParrot/1059582964_features.parquet
BoisterousParrot,1184291605.parquet,3999410,10,/home/rahuladhi/Desktop/AI/MABe/data/features_intermediate/BoisterousParrot/1184291605_features.parquet
BoisterousParrot,1201849558.parquet,5855410,10,/home/rahuladhi/Desktop/AI/MABe/data/features_intermediate/BoisterousParrot/1201849558_features.parquet
BoisterousParrot,1459695188.parquet,4303340,10,/home/rahuladhi/Desktop/AI/MABe/data/features_intermediate/BoisterousParrot/1459695188_features.parquet
BoisterousParrot,402963089.parquet,4410310,10,/home/rahuladhi/Desktop/AI/MABe/data/features_intermediate/BoisterousParrot/402963089_features.parquet
