tracking_range,annotation_range,tracking_frames,annotation_frames,overlap_frames,tracking_utilization_ratio,annotation_coverage_ratio,status,action,final_range,folder,file
"(0, 89975)","(2, 89467)",89976,89466,89466,0.994332,1.0,aligned,none,"(2, 89467)",AdaptableSnail,1212811043.parquet
"(0, 53917)","(199, 46370)",53918,46172,46172,0.856337,1.0,manual_review,check_alignment,"(199, 46370)",AdaptableSnail,1260392287.parquet
"(0, 81779)","(6, 80461)",81780,80456,80456,0.98381,1.0,auto_trim,trim_to_intersection,"(6, 80461)",AdaptableSnail,1351098077.parquet
"(0, 18431)","(49, 18352)",18432,18304,18304,0.993056,1.0,aligned,none,"(49, 18352)",AdaptableSnail,1408652858.parquet
"(0, 89975)","(324, 88906)",89976,88583,88583,0.984518,1.0,auto_trim,trim_to_intersection,"(324, 88906)",AdaptableSnail,143861384.parquet
"(0, 89975)","(337, 88915)",89976,88579,88579,0.984474,1.0,auto_trim,trim_to_intersection,"(337, 88915)",AdaptableSnail,1596473327.parquet
"(0, 53917)","(193, 53596)",53918,53404,53404,0.990467,1.0,aligned,none,"(193, 53596)",AdaptableSnail,1643942986.parquet
"(0, 17983)","(8, 17939)",17984,17932,17932,0.997109,1.0,aligned,none,"(8, 17939)",AdaptableSnail,1717182687.parquet
"(0, 18354)","(154, 18311)",18355,18158,18158,0.989267,1.0,auto_trim,trim_to_intersection,"(154, 18311)",AdaptableSnail,2078515636.parquet
"(0, 18436)","(463, 18336)",18437,17874,17874,0.969464,1.0,auto_trim,trim_to_intersection,"(463, 18336)",AdaptableSnail,209576908.parquet
"(0, 18572)","(61, 18565)",18573,18505,18505,0.996339,1.0,aligned,none,"(61, 18565)",AdaptableSnail,278643799.parquet
"(0, 18059)","(70, 18030)",18060,17961,17961,0.994518,1.0,aligned,none,"(70, 18030)",AdaptableSnail,351967631.parquet
"(0, 17995)","(77, 17901)",17996,17825,17825,0.990498,1.0,aligned,none,"(77, 17901)",AdaptableSnail,355542626.parquet
"(0, 18450)","(4, 18363)",18451,18360,18360,0.995068,1.0,aligned,none,"(4, 18363)",AdaptableSnail,44566106.parquet
"(0, 19029)","(30, 19023)",19030,18994,18994,0.998108,1.0,aligned,none,"(30, 19023)",AdaptableSnail,678426900.parquet
"(0, 18011)","(31, 17913)",18012,17883,17883,0.992838,1.0,aligned,none,"(31, 17913)",AdaptableSnail,705948978.parquet
"(0, 89975)","(137, 89578)",89976,89442,89442,0.994065,1.0,aligned,none,"(137, 89578)",AdaptableSnail,878123481.parquet
"(0, 594027)","(63857, 442919)",594028,379063,379063,0.638123,1.0,manual_review,check_alignment,"(63857, 442919)",BoisterousParrot,1059582964.parquet
"(0, 594019)","(68957, 468898)",594020,399942,399942,0.67328,1.0,manual_review,check_alignment,"(68957, 468898)",BoisterousParrot,1184291605.parquet
"(0, 594019)","(1376, 586917)",594020,585542,585542,0.985728,1.0,auto_trim,trim_to_intersection,"(1376, 586917)",BoisterousParrot,1201849558.parquet
"(0, 594029)","(0, 430334)",594030,430335,430335,0.724433,1.0,manual_review,check_alignment,"(0, 430334)",BoisterousParrot,1459695188.parquet
"(0, 594027)","(708, 279503)",594028,278796,278796,0.469331,1.0,manual_review,check_alignment,"(708, 279503)",BoisterousParrot,1985626297.parquet
"(0, 594027)","(4856, 445887)",594028,441032,441032,0.742443,1.0,manual_review,check_alignment,"(4856, 445887)",BoisterousParrot,402963089.parquet
"(0, 594027)","(5883, 328447)",594028,322565,322565,0.543013,1.0,manual_review,check_alignment,"(5883, 328447)",BoisterousParrot,459610814.parquet
"(0, 594024)","(1263, 307961)",594025,306699,306699,0.516307,1.0,manual_review,check_alignment,"(1263, 307961)",BoisterousParrot,613246188.parquet
"(964, 12090)","(964, 12046)",11127,11083,11083,0.996046,1.0,aligned,none,"(964, 12046)",CRIM13,1009459450.parquet
"(11607, 19997)","(11607, 19970)",8391,8364,8364,0.996782,1.0,aligned,none,"(11607, 19970)",CRIM13,1057221056.parquet
"(557, 8689)","(557, 8656)",8133,8100,8100,0.995942,1.0,aligned,none,"(557, 8656)",CRIM13,1149348188.parquet
"(1841, 16591)","(1841, 16020)",14751,14180,14180,0.961291,1.0,auto_trim,trim_to_intersection,"(1841, 16020)",CRIM13,1213233769.parquet
"(600, 9581)","(600, 9510)",8982,8911,8911,0.992095,1.0,aligned,none,"(600, 9510)",CRIM13,1313797424.parquet
"(4092, 9547)","(4093, 9441)",5456,5349,5349,0.980389,1.0,auto_trim,trim_to_intersection,"(4093, 9441)",CRIM13,1319309143.parquet
"(1569, 17881)","(1569, 17586)",16313,16018,16018,0.981916,1.0,auto_trim,trim_to_intersection,"(1569, 17586)",CRIM13,1381910096.parquet
"(2374, 18380)","(2374, 18380)",16007,16007,16007,1.0,1.0,aligned,none,"(2374, 18380)",CRIM13,1490000283.parquet
"(764, 3554)","(764, 3491)",2791,2728,2728,0.977427,1.0,auto_trim,trim_to_intersection,"(764, 3491)",CRIM13,1592386054.parquet
"(1830, 15840)","(1830, 15361)",14011,13532,13532,0.965813,1.0,auto_trim,trim_to_intersection,"(1830, 15361)",CRIM13,1695807459.parquet
"(4752, 7139)","(4752, 7139)",2388,2388,2388,1.0,1.0,aligned,none,"(4752, 7139)",CRIM13,1733903958.parquet
"(1752, 18372)","(1752, 18368)",16621,16617,16617,0.999759,1.0,aligned,none,"(1752, 18368)",CRIM13,1763467574.parquet
"(1072, 10154)","(1072, 10154)",9083,9083,9083,1.0,1.0,aligned,none,"(1072, 10154)",CRIM13,1836572955.parquet
"(1297, 11770)","(1297, 11695)",10474,10399,10399,0.992839,1.0,aligned,none,"(1297, 11695)",CRIM13,1846302042.parquet
"(922, 2183)","(922, 2139)",1262,1218,1218,0.965135,1.0,auto_trim,trim_to_intersection,"(922, 2139)",CRIM13,1976539996.parquet
"(643, 13274)","(643, 13274)",12632,12632,12632,1.0,1.0,aligned,none,"(643, 13274)",CRIM13,2134094751.parquet
"(1415, 11514)","(1415, 11509)",10100,10095,10095,0.999505,1.0,aligned,none,"(1415, 11509)",CRIM13,363958890.parquet
"(1230, 13750)","(1230, 13685)",12521,12456,12456,0.994809,1.0,aligned,none,"(1230, 13685)",CRIM13,415181540.parquet
"(2043, 16088)","(2043, 16027)",14046,13985,13985,0.995657,1.0,aligned,none,"(2043, 16027)",CRIM13,670907179.parquet
"(1151, 11594)","(1151, 11250)",10444,10100,10100,0.967062,1.0,auto_trim,trim_to_intersection,"(1151, 11250)",CRIM13,793202924.parquet
"(21892, 25664)","(22925, 23826)",3773,902,902,0.239067,1.0,manual_review,check_alignment,"(22925, 23826)",CRIM13,840324395.parquet
"(0, 18390)","(66, 17798)",18391,17733,17733,0.964222,1.0,auto_trim,trim_to_intersection,"(66, 17798)",CalMS21_supplemental,1006083669.parquet
"(0, 26640)","(1, 26233)",26641,26233,26233,0.984685,1.0,auto_trim,trim_to_intersection,"(1, 26233)",CalMS21_supplemental,1012566686.parquet
"(0, 19513)","(135, 19142)",19514,19008,19008,0.97407,1.0,auto_trim,trim_to_intersection,"(135, 19142)",CalMS21_supplemental,1012566850.parquet
"(0, 10552)","(4, 10148)",10553,10145,10145,0.961338,1.0,auto_trim,trim_to_intersection,"(4, 10148)",CalMS21_supplemental,1013428301.parquet
"(0, 6484)","(1, 6356)",6485,6356,6356,0.980108,1.0,auto_trim,trim_to_intersection,"(1, 6356)",CalMS21_supplemental,1014350333.parquet
"(0, 27230)","(4, 27230)",27231,27227,27227,0.999853,1.0,aligned,none,"(4, 27230)",CalMS21_supplemental,1015291592.parquet
"(0, 10868)","(101, 10323)",10869,10223,10223,0.940565,1.0,manual_review,check_alignment,"(101, 10323)",CalMS21_supplemental,1017236040.parquet
"(0, 7088)","(119, 6529)",7089,6411,6411,0.904359,1.0,manual_review,check_alignment,"(119, 6529)",CalMS21_supplemental,1019240807.parquet
"(0, 36147)","(95, 35937)",36148,35843,35843,0.991562,1.0,aligned,none,"(95, 35937)",CalMS21_supplemental,1032773418.parquet
"(0, 27420)","(4, 27277)",27421,27274,27274,0.994639,1.0,aligned,none,"(4, 27277)",CalMS21_supplemental,1039672228.parquet
"(0, 5806)","(354, 5515)",5807,5162,5162,0.888927,1.0,manual_review,check_alignment,"(354, 5515)",CalMS21_supplemental,1047608795.parquet
"(0, 4025)","(301, 3819)",4026,3519,3519,0.874069,1.0,manual_review,check_alignment,"(301, 3819)",CalMS21_supplemental,1082445110.parquet
"(0, 27522)","(210, 27485)",27523,27276,27276,0.991026,1.0,aligned,none,"(210, 27485)",CalMS21_supplemental,1085810295.parquet
"(0, 8008)","(1, 7916)",8009,7916,7916,0.988388,1.0,auto_trim,trim_to_intersection,"(1, 7916)",CalMS21_supplemental,1088021251.parquet
"(0, 19584)","(233, 19545)",19585,19313,19313,0.986112,1.0,auto_trim,trim_to_intersection,"(233, 19545)",CalMS21_supplemental,1092798869.parquet
"(0, 10298)","(3, 10157)",10299,10155,10155,0.986018,1.0,auto_trim,trim_to_intersection,"(3, 10157)",CalMS21_supplemental,1094348590.parquet
"(0, 26308)","(1, 26116)",26309,26116,26116,0.992664,1.0,aligned,none,"(1, 26116)",CalMS21_supplemental,109675929.parquet
"(0, 19633)","(542, 19512)",19634,18971,18971,0.966232,1.0,auto_trim,trim_to_intersection,"(542, 19512)",CalMS21_supplemental,110342188.parquet
