folder,file,final_start,final_stop,frames_after,trim_ratio
BoisterousParrot,1985626297.parquet,708,279503,278796,0.469
BoisterousParrot,459610814.parquet,5883,328447,322565,0.543
BoisterousParrot,613246188.parquet,1263,307961,306699,0.516
CRIM13,840324395.parquet,22925,23826,902,0.239
CalMS21_supplemental,659029417.parquet,4601,4673,73,0.012
CalMS21_task1,2021710297.parquet,114,1723,1610,0.588
ElegantMink,833000693.parquet,9054,16246,7193,0.135
InvincibleJellyfish,1634074988.parquet,5016,10501,5486,0.32
LyricalHare,1321123524.parquet,22144,22291,148,0.004
LyricalHare,577720259.parquet,813,20132,19320,0.51
PleasantMeerkat,1089480847.parquet,12411,26999,14582,0.54
PleasantMeerkat,1177059156.parquet,18639,25038,6400,0.237
PleasantMeerkat,1212669906.parquet,621,855,235,0.009
PleasantMeerkat,1396183780.parquet,5850,20871,15005,0.556
PleasantMeerkat,1749697095.parquet,1089,16758,15670,0.58
PleasantMeerkat,1769027005.parquet,4734,19035,14289,0.529
PleasantMeerkat,1780823248.parquet,13941,23949,10009,0.371
PleasantMeerkat,2050697745.parquet,5220,8541,3322,0.123
PleasantMeerkat,365886350.parquet,16506,19467,2962,0.11
PleasantMeerkat,408761044.parquet,4473,20268,15796,0.585
PleasantMeerkat,498458760.parquet,5040,19431,14391,0.533
PleasantMeerkat,599439.parquet,18099,25911,7813,0.289
PleasantMeerkat,62373697.parquet,25164,25884,721,0.027
PleasantMeerkat,74645358.parquet,7308,23004,15697,0.581
PleasantMeerkat,754974789.parquet,4482,4495,14,0.001
PleasantMeerkat,843765839.parquet,10584,25591,15000,0.556
PleasantMeerkat,886803007.parquet,11556,11880,325,0.012
PleasantMeerkat,974867366.parquet,756,2421,1666,0.062
SparklingTapir,1063876199.parquet,11,647,637,0.386
SparklingTapir,1237008561.parquet,709,752,44,0.028
SparklingTapir,1289903608.parquet,445,10924,10480,0.557
SparklingTapir,1370864222.parquet,118,630,513,0.311
SparklingTapir,1497516919.parquet,10143,10557,415,0.023
SparklingTapir,1548588128.parquet,2624,3394,771,0.184
SparklingTapir,1580642046.parquet,8580,17699,9120,0.507
SparklingTapir,1625103025.parquet,10016,15274,5259,0.292
SparklingTapir,1700880638.parquet,315,1129,815,0.494
SparklingTapir,1863117852.parquet,1132,1150,19,0.012
SparklingTapir,2030735934.parquet,1933,2317,385,0.087
SparklingTapir,276682473.parquet,11365,16311,4947,0.275
SparklingTapir,385126201.parquet,274,3036,2763,0.521
SparklingTapir,696042182.parquet,9412,16724,7313,0.406
SparklingTapir,975035187.parquet,844,5176,4333,0.41
UppityFerret,1241990995.parquet,6463,13791,7329,0.489
